순번,측정 일자,가슴 둘레 센티미터,소매길이 센티미터,신장 센티미터,허리 둘레 센티미터,샅높이 센티미터,머리 둘레 센티미터,발 길이 센티미터,몸무게 킬로그램
1,20140106,96.3,92.6,185.5,82.5,83.8,57.1,28.5,73.2
2,2013,101.9,83.8,167.2,81.2,74.4,55,24.2,65.1
3,20140106,99.5,89.6,179.9,99.2,84.2,56.3,28.1,93.2
4,2013,98.6,85.5,171.4,85.9,76.4,54.5,27.4,71.6
5,20140106,94.7,88.1,176.9,78.3,79.7,58.5,26.5,67.1
6,2013,122.3,90.2,180.5,118.4,79.7,61.5,29,114.2
7,20140106,98,89.7,180.4,93.6,83,59.9,27.1,76.5
8,2013,89.6,87.3,173.9,71.1,76.5,53.9,26.8,53
9,20140106,93.8,89.3,178.7,82.9,83.8,57.7,28.6,69.7
10,2013,122.3,90.2,180.5,118.4,79.7,61.5,29,114.2
11,20140106,115.4,86.5,173.1,112.6,80.6,59.1,27.7,95.3
12,2013,98,89.6,178.5,95.4,78.4,57.1,27.2,78.7
13,20140106,83.1,86,172.6,75.7,75.4,57.9,26.2,58.6
14,2013,94.7,85.1,170.7,81.7,75.3,56.4,26.2,66.7
15,20140106,97.1,87.7,175,87.3,78.9,56.4,27.4,77.8
16,2013,98.8,87.7,175.8,89.6,77.6,58.5,26.2,77.8
17,20140106,95.9,91.3,182.9,85.8,86,58.4,29.2,80.4
18,2013,87.6,84.8,169.3,75.4,74.7,55.7,25.3,54.6
19,20140106,93.1,89.1,177.4,79.7,78.6,59.9,27.5,69
20,2013,94.4,83.8,168.3,72.2,74.3,60,23.8,59.1
21,20140106,86.4,86.7,173.4,81.7,80.2,56.3,27.3,63.8
22,2013,104.1,86.3,173.2,91.4,76.1,56.7,26,74.6
23,20140106,106.4,90.4,180.1,97.3,84.1,57.8,27.6,90.4
24,2013,92,86.1,172.4,86.6,75.9,57.3,26.3,67.8
25,20140106,112.1,93.6,186.8,105.2,88,62,27.7,103.3
